Ad Account ID,Ad Account Name,Reporting starts,Reporting ends,Ad name,Age,Ad delivery,Ad Set Name,Bid,Bid type,Ad set budget,Ad set budget type,Last significant edit,Results,Result indicator,Reach,Impressions,Cost per results,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (MXN),Ends,Result rate,Frequency,Link clicks,Unique link clicks,Clicks (all),Landing page views,Purchases,Mobile app purchases,Website purchases,Meta Purchases,Purchases conversion value,Mobile app purchases conversion value,Website purchases conversion value,Meta Purchase Conversion Value,Campaign ID,Page engagement,Post engagement,Post reactions,Post comments,CPC (cost per link click) (MXN)
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,18-24,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,11200,12502,,-,-,-,52.05,En curso,,1.11625,133,124,144,,,,,,,,,,23851903914600173,134,134,1,,0.391353
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio_Copy,18-24,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,4776,5018,,-,-,-,28.23,En curso,,1.05067,64,59,68,,,,,,,,,,23851903914600173,64,64,,,0.441094
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio - Price,18-24,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,2180,2447,,-,-,-,23.682503,En curso,,1.122477,60,55,65,,,,,,,,,,23851903914600173,60,60,,,0.394708
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,25-34,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,11248,12467,,-,-,-,42.47,En curso,,1.108375,115,109,130,,,,,,,,,,23851903914600173,119,119,4,,0.369304
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio_Copy,25-34,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,2968,3507,,-,-,-,22.11,En curso,,1.181604,51,43,53,,,,,,,,,,23851903914600173,52,52,1,,0.433529
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio - Price,25-34,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,1724,2061,,-,-,-,17.741841,En curso,,1.195476,45,43,54,,,,,,,,,,23851903914600173,45,45,,,0.394263
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,35-44,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,9920,11433,,-,-,-,49.2,En curso,,1.15252,133,121,146,,,,,,,,,,23851903914600173,135,135,2,,0.369925
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio_Copy,35-44,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,3840,4207,,-,-,-,24.8,En curso,,1.095573,57,47,60,,,,,,,,,,23851903914600173,58,58,1,,0.435088
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio - Price,35-44,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,2801,3183,,-,-,-,30.614945,En curso,,1.13638,79,75,85,,,,,,,,,,23851903914600173,80,80,1,,0.387531
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,45-54,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,10704,12396,,-,-,-,86.84,En curso,,1.158072,227,198,263,,,,,,,,,,23851903914600173,233,233,6,,0.382555
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio_Copy,45-54,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,5456,5894,,-,-,-,34.32,En curso,,1.080279,76,74,79,,,,,,,,,,23851903914600173,76,76,,,0.451579
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio - Price,45-54,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,3705,4305,,-,-,-,44.079109,En curso,,1.161943,112,96,126,,,,,,,,,,23851903914600173,115,115,3,,0.393563
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,55-64,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,15056,18618,,-,-,-,170.46,En curso,,1.236583,437,375,491,,,,,,,,,,23851903914600173,445,445,6,,0.390069
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio_Copy,55-64,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,9360,10310,,-,-,-,71.01,En curso,,1.101496,156,145,170,,,,,,,,,,23851903914600173,157,157,1,,0.455192
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio - Price,55-64,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,5441,6504,,-,-,-,63.75442,En curso,,1.195368,157,136,177,,,,,,,,,,23851903914600173,160,160,3,,0.406079
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,65+,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,9856,12601,,-,-,-,145.5,En curso,,1.278511,356,296,424,,,,,,,,,,23851903914600173,363,363,5,1,0.408708
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio_Copy,65+,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,5984,6900,,-,-,-,63.88,En curso,,1.153075,139,123,157,,,,,,,,,,23851903914600173,139,139,,,0.459568
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio - Price,65+,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,3449,3920,,-,-,-,48.577182,En curso,,1.136561,113,100,132,,,,,,,,,,23851903914600173,116,116,3,,0.429887
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Unknown,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,0,0,,-,-,-,0,En curso,,0,,,0,539,,,,,,,,,23851903914600173,,,,,
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio_Copy,Unknown,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,0,0,,-,-,-,0,En curso,,0,,,0,183,,,,,,,,,23851903914600173,,,,,
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio - Price,Unknown,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,0,0,,-,-,-,0,En curso,,0,,,0,105,,,,,,,,,23851903914600173,,,,,
